movieId,title,genre,year_of_release,userId,rating,timestamp
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,1,4,2000-07-30 18:45:03
2,Jumanji,Adventure|Children|Fantasy,1995,436,4,1996-05-31 08:02:31
3,Grumpier Old Men,Comedy|Romance,1995,448,3,2002-04-18 11:15:36
4,Waiting to Exhale,Comedy|Drama|Romance,1995,262,1,1996-08-17 18:23:23
5,Father of the Bride Part II,Comedy,1995,353,3,1996-05-12 22:25:14
6,Heat,Action|Crime|Thriller,1995,385,3,1996-08-21 17:25:13
7,Sabrina,Comedy|Romance,1995,470,3,1996-11-30 16:14:13
8,Tom and Huck,Adventure|Children,1995,501,3,1996-10-10 19:01:30
9,Sudden Death,Action,1995,599,2,2017-06-26 19:22:40
10,GoldenEye,Action|Adventure|Thriller,1995,414,3,2000-06-20 15:44:23
11,"American President, The",Comedy|Drama|Romance,1995,476,3,1996-06-17 14:27:15
12,Dracula: Dead and Loving It,Comedy|Horror,1995,350,3,1997-05-29 21:25:18
13,Balto,Adventure|Animation|Children,1995,509,3,2015-07-05 13:00:43
14,Nixon,Drama,1995,437,3,1997-03-30 11:24:40
15,Cutthroat Island,Action|Adventure|Romance,1995,606,4,2007-02-18 22:51:03
16,Casino,Crime|Drama,1995,437,5,1997-03-30 11:35:43
17,Sense and Sensibility,Drama|Romance,1995,314,4,1996-06-10 09:20:42
18,Four Rooms,Comedy,1995,318,3,2015-03-14 17:11:15
19,Ace Ventura: When Nature Calls,Comedy,1995,475,4,2017-06-21 07:56:16
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,386,2,1996-09-13 11:27:13
21,Get Shorty,Comedy|Crime|Thriller,1995,444,4,1996-05-21 09:14:35
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,428,3,2005-03-22 10:31:40
23,Assassins,Action|Crime|Thriller,1995,314,3,1996-06-08 13:46:26
24,Powder,Drama|Scifi,1995,414,3,2000-06-19 17:49:24
25,Leaving Las Vegas,Drama|Romance,1995,385,3,1996-06-13 18:50:45
26,Othello,Drama,1995,599,3,2017-06-26 23:10:55
27,Now and Then,Children|Drama,1995,506,3,2015-02-21 03:02:20
28,Persuasion,Drama|Romance,1995,594,5,2005-02-21 08:05:43
29,"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Scifi,1995,323,4,2015-01-30 17:56:10
30,Shanghai Triad,Crime|Drama,1995,603,4,2000-07-09 21:47:53
31,Dangerous Minds,Drama,1995,337,5,1997-04-05 16:02:00
32,Twelve Monkeys,Mystery|Scifi|Thriller,1995,405,5,2011-01-24 23:12:44
34,Babe,Children|Drama,1995,411,4,1996-06-23 12:16:31
36,Dead Man Walking,Crime|Drama,1995,378,4,2015-10-20 13:17:58
38,It Takes Two,Children|Comedy,1995,21,3,2014-12-28 19:31:53
39,Clueless,Comedy|Romance,1995,446,3,1996-09-27 15:48:26
40,"Cry, the Beloved Country",Drama,1995,311,4,2003-07-10 16:33:24
41,Richard III,Drama|War,1995,599,3,2017-06-26 23:14:07
42,Dead Presidents,Action|Crime|Drama,1995,597,3,1999-11-04 15:27:44
43,Restoration,Drama,1995,521,4,1997-01-08 08:50:46
44,Mortal Kombat,Action|Adventure|Fantasy,1995,438,3,2005-01-14 01:45:44
45,To Die For,Comedy|Drama|Thriller,1995,474,4,2002-02-28 19:26:09
46,How to Make an American Quilt,Drama|Romance,1995,411,2,1996-06-23 12:35:37
47,Seven,Mystery|Thriller,1995,402,3,1996-12-03 23:09:59
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,429,4,1996-03-29 18:36:56
49,When Night Is Falling,Drama|Romance,1995,202,3,2000-11-22 20:37:33
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,385,3,1996-06-13 18:48:14
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,411,2,1996-06-23 12:33:18
53,Lamerica,Adventure|Drama,1994,603,5,2000-07-09 22:00:03
54,"Big Green, The",Children|Comedy,1995,6,4,1996-10-17 12:30:02
55,Georgia,Drama,1995,84,4,1997-03-19 11:55:43
57,Home for the Holidays,Drama,1995,603,2,2000-07-09 22:00:25
58,"Postman, The",Comedy|Drama|Romance,1994,425,4,2004-05-25 13:06:09
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995,304,1,1998-03-29 12:20:24
61,Eye for an Eye,Drama|Thriller,1996,599,3,2018-02-22 19:30:17
